cas;domaine;action_a_verifier;resultat_attendu;statut;date_heure;recetteur;environnement;profil;preuve_anonymisee;anomalie
E-01;Editorial;Créer contenu ou série;Statut draft et absence de liste publique;À faire;;;;;;
E-02;Editorial;Ouvrir brouillon sans droit;HTTP 401 403 ou 404 sans média signé;À faire;;;;;;
E-03;Editorial;Prévisualiser son brouillon;Accessible seulement à l'éditeur;À faire;;;;;;
E-04;Editorial;Passer draft in_review published;Publication publique et audit;À faire;;;;;;
E-05;Editorial;Archiver contenu;Retiré du public et historique conservé;À faire;;;;;;
E-06;Editorial;Supprimer brouillon lié;HTTP 409 et archivage possible;À faire;;;;;;
E-07;Editorial;Publier série avec module brouillon;Seuls modules publiés exposés;À faire;;;;;;
E-08;Editorial;Planifier contenu;Reste non public avant publication explicite;À faire;;;;;;
R-01;Rôles;Membre modifie ou crée contenu;HTTP 403;À faire;;;;;;
R-02;Rôles;Éditeur crée modifie soumet;Autorisé dans son périmètre;À faire;;;;;;
R-03;Rôles;Éditeur publie planifie archive;HTTP 403;À faire;;;;;;
R-04;Rôles;Admin publie archive;Autorisé;À faire;;;;;;
R-05;Rôles;Admin attribue content_editor moderator;Autorisé et audité;À faire;;;;;;
R-06;Rôles;Admin gère rôle admin;HTTP 403;À faire;;;;;;
R-07;Rôles MFA;Super-admin AAL1 gère admin;Refus MFA;À faire;;;;;;
R-08;Rôles MFA;Super-admin AAL2 gère admin;Autorisé et audité;À faire;;;;;;
R-09;Rôles;API gère super_admin;HTTP 403;À faire;;;;;;
R-10;Rôles;Admin supprime compte admin;Refus attendu;À faire;;;;;;
MFA-01;MFA administrateur;Connexion sans facteur puis ouverture Sécurité MFA;État À configurer et action sensible refusée AAL1;À faire;;;;;;
MFA-02;MFA administrateur;Activer MFA scanner QR et saisir code valide;Facteur vérifié session AAL2 sans secret dans les preuves;À faire;;;;;;
MFA-03;MFA administrateur;Promouvoir membre après MFA-02;Autorisé et audit créé;À faire;;;;;;
MFA-04;MFA administrateur;Déconnexion puis reconnexion;Challenge automatique avant action sensible;À faire;;;;;;
MFA-05;MFA administrateur;Saisir code invalide ou expiré;Refus et session AAL1;À faire;;;;;;
MFA-06;MFA administrateur;Saisir code challenge valide;Session AAL2 et action sensible autorisée;À faire;;;;;;
MFA-07;MFA administrateur;Ajouter facteur de secours distinct;Deux facteurs TOTP vérifiés;À faire;;;;;;
MFA-08;MFA administrateur;Retirer unique facteur vérifié;Action refusée ou indisponible;À faire;;;;;;
MFA-09;MFA administrateur;Retirer ancien facteur avec secours vérifié;Retrait autorisé un facteur demeure;À faire;;;;;;
MFA-10;MFA administrateur;Tenter fermer challenge croix Échap clic extérieur;Fermeture impossible accès admin bloqué jusqu'à AAL2;À faire;;;;;;
M-01;Modération;Membre signale commentaire tiers;Signalement open créé;À faire;;;;;;
M-02;Modération;Membre signale son commentaire;HTTP 403;À faire;;;;;;
M-03;Modération;Double signalement;HTTP 409;À faire;;;;;;
M-04;Modération;Modérateur consulte file;Signalements ouverts visibles seulement;À faire;;;;;;
M-05;Modération;Masquer avec motif;Commentaire public absent et audit;À faire;;;;;;
M-06;Modération;Restaurer;Commentaire visible et historique conservé;À faire;;;;;;
M-07;Modération;Supprimer avec motif;Texte absent et décision traçable;À faire;;;;;;
M-08;Modération;Membre modère;HTTP 403;À faire;;;;;;
P-01;Progression;Migrer ancienne complétion;Historique conservé à 100%;À faire;;;;;;
P-02;Progression;Ouvrir module;in_progress avec dates renseignées;À faire;;;;;;
P-03;Progression;Pause puis rechargement;Reprise à 15 secondes maximum;À faire;;;;;;
P-04;Progression;Deuxième session même compte;Position la plus avancée proposée;À faire;;;;;;
P-05;Progression;Atteindre 90%;Complété à 100%;À faire;;;;;;
P-06;Progression;Événement 30% après complétion;Aucune régression;À faire;;;;;;
P-07;Progression;Terminer texte manuellement;100% source manual position zéro;À faire;;;;;;
P-08;Progression;Rejouer eventId identique;replayed true et un événement;À faire;;;;;;
P-09;Progression;Réutiliser eventId différent;HTTP 409 et état inchangé;À faire;;;;;;
P-10;Progression;Événements concurrents;Position la plus avancée sans doublon;À faire;;;;;;
P-11;Progression;Rejouer module terminé;Lecture permise et completed_at conservé;À faire;;;;;;
